id,product_id,sku,title,seo_title,variant_title,description,seo_description, price ,product_type,vendor,barcode,handle,tags,fulfillment_service,inventory_quantity,compare_at_price,weight_unit,weight,requires_shipping,taxable,option_color,option_size,option1,option2,option3,link,image_link,availability,condition
3.32E+13,4.76E+12,32164486-rose-gold,Gorgeous Metallic Champagne Flutes,Gorgeous Metallic Champagne Flutes Rose Gold,Rose Gold,"Perfect for all occasions - parties, corporate events & gatherings! Made of stainless steel - shatterproof and helps keep your drink chilled Dimensions: 8.75 inches/ 22.2 cm in height",,29,,jazzupco,,gorgeous-metallic-champagne-flutes,,oberlo,986,,KILOGRAMS,0,TRUE,FALSE,Rose Gold,,Rose Gold,,,https://jazzupco.com/products/gorgeous-metallic-champagne-flutes,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1MetallicChampagneFlutes.png?v=1613481012,in stock,new
3.32E+13,4.76E+12,32164486-gold,Gorgeous Metallic Champagne Flutes,Gorgeous Metallic Champagne Flutes Gold,Gold,"Perfect for all occasions - parties, corporate events & gatherings! Made of stainless steel - shatterproof and helps keep your drink chilled Dimensions: 8.75 inches/ 22.2 cm in height",,29,,jazzupco,,gorgeous-metallic-champagne-flutes,,oberlo,986,,KILOGRAMS,0,TRUE,FALSE,Gold,,Gold,,,https://jazzupco.com/products/gorgeous-metallic-champagne-flutes,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1MetallicChampagneFlutes.png?v=1613481012,in stock,new
3.32E+13,4.76E+12,32164486-silver,Gorgeous Metallic Champagne Flutes,Gorgeous Metallic Champagne Flutes Silver,Silver,"Perfect for all occasions - parties, corporate events & gatherings! Made of stainless steel - shatterproof and helps keep your drink chilled Dimensions: 8.75 inches/ 22.2 cm in height",,29,,jazzupco,,gorgeous-metallic-champagne-flutes,,oberlo,1000,,KILOGRAMS,0,TRUE,FALSE,Silver,,Silver,,,https://jazzupco.com/products/gorgeous-metallic-champagne-flutes,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1MetallicChampagneFlutes.png?v=1613481012,in stock,new
3.32E+13,4.76E+12,32093937-rose-gold,Metallic Wine Goblet,Metallic Wine Goblet Rose Gold (1 Goblet),Rose Gold (1 Goblet),"Perfect for all occasions - parties, corporate events & gatherings! A must-have for wine lovers! Made of stainless steel - shatterproof and helps keep your drink chilled Dimensions: 8.4 inches/ 21.4 cm in height",,29,,jazzupco,,metallic-wine-goblets,,oberlo,982,,KILOGRAMS,0,TRUE,FALSE,Rose Gold (1 Goblet),,Rose Gold (1 Goblet),,,https://jazzupco.com/products/metallic-wine-goblets,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1Cover.png?v=1613481019,in stock,new
3.32E+13,4.76E+12,32093937-silver,Metallic Wine Goblet,Metallic Wine Goblet Silver (1 Goblet),Silver (1 Goblet),"Perfect for all occasions - parties, corporate events & gatherings! A must-have for wine lovers! Made of stainless steel - shatterproof and helps keep your drink chilled Dimensions: 8.4 inches/ 21.4 cm in height",,29,,jazzupco,,metallic-wine-goblets,,oberlo,993,,KILOGRAMS,0,TRUE,FALSE,Silver (1 Goblet),,Silver (1 Goblet),,,https://jazzupco.com/products/metallic-wine-goblets,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1Cover.png?v=1613481019,in stock,new
3.32E+13,4.76E+12,32093937-gold,Metallic Wine Goblet,Metallic Wine Goblet Gold (1 Goblet),Gold (1 Goblet),"Perfect for all occasions - parties, corporate events & gatherings! A must-have for wine lovers! Made of stainless steel - shatterproof and helps keep your drink chilled Dimensions: 8.4 inches/ 21.4 cm in height",,29,,jazzupco,,metallic-wine-goblets,,oberlo,975,,KILOGRAMS,0,TRUE,FALSE,Gold (1 Goblet),,Gold (1 Goblet),,,https://jazzupco.com/products/metallic-wine-goblets,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1Cover.png?v=1613481019,in stock,new
3.32E+13,4.76E+12,25159550-rose-gold-Flute-350ml-2glasses,Rose Gold Champagne Glass (2 Glasses),Rose Gold Champagne Glass (2 Glasses) Champagne Flute (2 Glasses),Champagne Flute (2 Glasses),Elevate your drinking experience with our premium rose gold plated champagne glass. Glasses are sold in pairs Comes in 2 options: Champagne Flute (Pictured Left): 11.6 inches/ 29.6 cm in height (Approx. 11.8 oz/ 350ml) Champagne Tulip (Pictured Right): 9.4 inches/ 24 cm in height (Approx. 13.5 oz/ 400ml),,58,,jazzupco,,rose-gold-champagne-glasses,,oberlo,969,,KILOGRAMS,0,TRUE,FALSE,Champagne Flute (2 Glasses),,Champagne Flute (2 Glasses),,,https://jazzupco.com/products/rose-gold-champagne-glasses,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/product-image-997706338.jpg?v=1613481023,in stock,new
3.32E+13,4.76E+12,25159550-rose-gold-Tulip-400-2glasses,Rose Gold Champagne Glass (2 Glasses),Rose Gold Champagne Glass (2 Glasses) Champagne Tulip (2 Glasses),Champagne Tulip (2 Glasses),Elevate your drinking experience with our premium rose gold plated champagne glass. Glasses are sold in pairs Comes in 2 options: Champagne Flute (Pictured Left): 11.6 inches/ 29.6 cm in height (Approx. 11.8 oz/ 350ml) Champagne Tulip (Pictured Right): 9.4 inches/ 24 cm in height (Approx. 13.5 oz/ 400ml),,58,,jazzupco,,rose-gold-champagne-glasses,,oberlo,984,,KILOGRAMS,0,TRUE,FALSE,Champagne Tulip (2 Glasses),,Champagne Tulip (2 Glasses),,,https://jazzupco.com/products/rose-gold-champagne-glasses,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/product-image-997706338.jpg?v=1613481023,in stock,new
3.93E+13,4.76E+12,Minimalist-20Pcs-Gold,Minimalist Flatware,Minimalist Flatware Matte Gold / 20 Pcs (Serves 4 Persons) - Save $110 USD,Matte Gold / 20 Pcs (Serves 4 Persons) - Save $110 USD,"Description Details Shipping FAQs Care Guide Dine in style with our classy Minimalist Flatware made from high-quality 18/10 stainless steel. The titanium-plated matte finish provides greater durability to the flatware and the sleek design of the handles bring a modern feel to your tabletop. You can pair up this flatware set with our exclusive dinnerware collection to have an exceptional dining experience. Material: 18/10 stainless steel with titanium-plated matte finish Color: Gold/ Rose Gold/ Black/ Silver 4 Pieces Set 1 x Dinner Spoon, 1 x Dinner Fork, 1 x Dinner Knife, and 1 x Teaspoon 8 Pieces Set 2 x Dinner Spoon, 2 x Dinner Fork, 2 x Dinner Knife, and 2 x Teaspoon 16 Pieces Set 4 x Dinner Spoon, 4 x Dinner Fork, 4 x Dinner Knife, and 4 x Teaspoon 24 Pieces Set 6 x Dinner Spoon, 6 x Dinner Fork, 6 x Dinner Knife, and 6 x Teaspoon 20 Pieces Set (New) 4 x Dinner Spoon, 4 x Dinner Fork, 4 x Dinner Knife, 4 x Salad Fork, and 4 x Soup Spoon 30 Pieces Set (New) 6 x Dinner Spoon, 6 x Dinner Fork, 6 x Dinner Knife, 6 x Salad Fork, and 6 x Soup Spoon Dinner Spoon – 8.5 inches/ 21.5 cm, 2.6 oz/ 74 g Dinner Fork – 8.7 inches/ 22.0 cm, 2.2 oz/ 62 g Dinner Knife – 8.7 inches/ 22.0 cm, 2.1 oz/ 60 g Teaspoon – 4.9 inches/ 12.5 cm, 0.8 oz/ 24 g Soup Spoon – 7.4 inches/ 18.8 cm, 1.4 oz/ 40 g Salad Fork – 7.2 inches/ 18.4 cm, 1.4 oz/ 40 g Free Shipping - with an estimated shipping duration of 8-16 days within the USA and 12-18 days worldwide. Is the flatware dishwasher safe and is it durable? While we have customers who wash this flatware in dishwashers with no issues, we cannot guarantee that the dishwasher would not affect the exterior finishes as there are various factors involved (eg. type of dishwasher, dishwasher detergent, etc.). As such, it is recommended to only handwash the flatware so as to preserve the exterior as well as possible. However, if you decide to use the dishwasher, you may try dishwashing programs with a low temperature of 104°F / 40°C or less as higher temperatures may affect the exterior quality of the flatware. Check if your dishwasher features an eco-friendly program that operates on a low temperature of 104°F / 40°C or less. You may also consider testing 1 or 2 flatware pieces in the dishwasher over a prolonged duration first (say 1 to 2 months), before putting the remaining pieces in the dishwasher. Your flatware is durable and suitable for day-to-day use as it’s made of high-quality 18/10 stainless steel, which provides the greatest resistance to corrosion and rust. What is the colored coating made of? The flatware is titanium-plated (non-toxic and safe coating) that provides additional resistance to corrosion and rust. Will the coating layer peel off and wear out after washing? No, the coating layer will not peel off and will not wear out after washing. Does the flatware have a good weight to it? Yes, our flatware is heavier than regular ones due to the thicker handles and quality materials used. Dinner Spoon – 2.6 oz/ 74 g Dinner Fork – 2.2 oz/ 62 g Dinner Knife – 2 oz/ 57 g Teaspoon – 0.8 oz/ 24 g Soup Spoon – 1.4 oz/ 40 g Salad Fork – 1.4 oz/ 40 g Please rinse with warm water and mild dishwashing liquid prior to your first-time use. After each use, promptly wash off (using a soft sponge and do not use hot water) residues and food stains as soon as you can. While we have customers who wash this flatware in dishwashers with no issues, we cannot guarantee that the dishwasher would not affect the exterior finishes as there are various factors involved (eg. type of dishwasher, dishwasher detergent, etc.). As such, it is recommended to only handwash the flatware so as to preserve the exterior as well as possible. However, if you decide to use the dishwasher, you may try dishwashing programs with a low temperature of 104°F / 40°C or less as higher temperatures may affect the exterior quality of the flatware. Check if your dishwasher features an eco-friendly program that operates on a low temperature of 104°F / 40°C or less. You may also consider testing 1 or 2 flatware pieces in the dishwasher over a prolonged duration first (say 1 to 2 months), before putting the remaining pieces in the dishwasher. When washing, use mild dishwashing liquid only and avoid citrus-scented, chlorine-based and anti-limescale detergents. Do not use abrasive sponges or scrubs. After each wash, dry with a soft towel to prevent water marks, discoloration and film buildup. When storing your flatware pieces, place them in a dry and well-ventilated place and keep spoons and forks separately from the knives to avoid scratches on the surface. Enjoy your flatware!",,109,,jazzupco,,minimalist-flatware,,oberlo,8599,219,KILOGRAMS,0,TRUE,FALSE,Matte Gold,,Matte Gold,20 Pcs (Serves 4 Persons) - Save $110 USD,,https://jazzupco.com/products/minimalist-flatware,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-7_websize.jpg?v=1629558203,in stock,new
3.93E+13,4.76E+12,Minimalist-30Pcs-Gold,Minimalist Flatware,Minimalist Flatware Matte Gold / 30 Pcs (Serves 6 Persons) - Save $160 USD,Matte Gold / 30 Pcs (Serves 6 Persons) - Save $160 USD,"Description Details Shipping FAQs Care Guide Dine in style with our classy Minimalist Flatware made from high-quality 18/10 stainless steel. The titanium-plated matte finish provides greater durability to the flatware and the sleek design of the handles bring a modern feel to your tabletop. You can pair up this flatware set with our exclusive dinnerware collection to have an exceptional dining experience. Material: 18/10 stainless steel with titanium-plated matte finish Color: Gold/ Rose Gold/ Black/ Silver 4 Pieces Set 1 x Dinner Spoon, 1 x Dinner Fork, 1 x Dinner Knife, and 1 x Teaspoon 8 Pieces Set 2 x Dinner Spoon, 2 x Dinner Fork, 2 x Dinner Knife, and 2 x Teaspoon 16 Pieces Set 4 x Dinner Spoon, 4 x Dinner Fork, 4 x Dinner Knife, and 4 x Teaspoon 24 Pieces Set 6 x Dinner Spoon, 6 x Dinner Fork, 6 x Dinner Knife, and 6 x Teaspoon 20 Pieces Set (New) 4 x Dinner Spoon, 4 x Dinner Fork, 4 x Dinner Knife, 4 x Salad Fork, and 4 x Soup Spoon 30 Pieces Set (New) 6 x Dinner Spoon, 6 x Dinner Fork, 6 x Dinner Knife, 6 x Salad Fork, and 6 x Soup Spoon Dinner Spoon – 8.5 inches/ 21.5 cm, 2.6 oz/ 74 g Dinner Fork – 8.7 inches/ 22.0 cm, 2.2 oz/ 62 g Dinner Knife – 8.7 inches/ 22.0 cm, 2.1 oz/ 60 g Teaspoon – 4.9 inches/ 12.5 cm, 0.8 oz/ 24 g Soup Spoon – 7.4 inches/ 18.8 cm, 1.4 oz/ 40 g Salad Fork – 7.2 inches/ 18.4 cm, 1.4 oz/ 40 g Free Shipping - with an estimated shipping duration of 8-16 days within the USA and 12-18 days worldwide. Is the flatware dishwasher safe and is it durable? While we have customers who wash this flatware in dishwashers with no issues, we cannot guarantee that the dishwasher would not affect the exterior finishes as there are various factors involved (eg. type of dishwasher, dishwasher detergent, etc.). As such, it is recommended to only handwash the flatware so as to preserve the exterior as well as possible. However, if you decide to use the dishwasher, you may try dishwashing programs with a low temperature of 104°F / 40°C or less as higher temperatures may affect the exterior quality of the flatware. Check if your dishwasher features an eco-friendly program that operates on a low temperature of 104°F / 40°C or less. You may also consider testing 1 or 2 flatware pieces in the dishwasher over a prolonged duration first (say 1 to 2 months), before putting the remaining pieces in the dishwasher. Your flatware is durable and suitable for day-to-day use as it’s made of high-quality 18/10 stainless steel, which provides the greatest resistance to corrosion and rust. What is the colored coating made of? The flatware is titanium-plated (non-toxic and safe coating) that provides additional resistance to corrosion and rust. Will the coating layer peel off and wear out after washing? No, the coating layer will not peel off and will not wear out after washing. Does the flatware have a good weight to it? Yes, our flatware is heavier than regular ones due to the thicker handles and quality materials used. Dinner Spoon – 2.6 oz/ 74 g Dinner Fork – 2.2 oz/ 62 g Dinner Knife – 2 oz/ 57 g Teaspoon – 0.8 oz/ 24 g Soup Spoon – 1.4 oz/ 40 g Salad Fork – 1.4 oz/ 40 g Please rinse with warm water and mild dishwashing liquid prior to your first-time use. After each use, promptly wash off (using a soft sponge and do not use hot water) residues and food stains as soon as you can. While we have customers who wash this flatware in dishwashers with no issues, we cannot guarantee that the dishwasher would not affect the exterior finishes as there are various factors involved (eg. type of dishwasher, dishwasher detergent, etc.). As such, it is recommended to only handwash the flatware so as to preserve the exterior as well as possible. However, if you decide to use the dishwasher, you may try dishwashing programs with a low temperature of 104°F / 40°C or less as higher temperatures may affect the exterior quality of the flatware. Check if your dishwasher features an eco-friendly program that operates on a low temperature of 104°F / 40°C or less. You may also consider testing 1 or 2 flatware pieces in the dishwasher over a prolonged duration first (say 1 to 2 months), before putting the remaining pieces in the dishwasher. When washing, use mild dishwashing liquid only and avoid citrus-scented, chlorine-based and anti-limescale detergents. Do not use abrasive sponges or scrubs. After each wash, dry with a soft towel to prevent water marks, discoloration and film buildup. When storing your flatware pieces, place them in a dry and well-ventilated place and keep spoons and forks separately from the knives to avoid scratches on the surface. Enjoy your flatware!",,159,,jazzupco,,minimalist-flatware,,oberlo,8612,319,KILOGRAMS,0,TRUE,FALSE,Matte Gold,,Matte Gold,30 Pcs (Serves 6 Persons) - Save $160 USD,,https://jazzupco.com/products/minimalist-flatware,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-7_websize.jpg?v=1629558203,in stock,new
